header,data,visibility,metainfo,main_part,text
"""Тотальный диктант"" пройдет в Череповце 20 апреля - 35медиа",19 марта 2024,21,"Медиа-Центр (35media.ru), Вологда, 19 марта 2024","""Тотальный диктант"" пройдет в Череповце 20 апреля - 35медиа","Второй год подряд библиотека профкома ""Северстали"" станет площадкой акции ""Тотальный диктант"" (6+). 
В прошлом году в Череповце после перерыва возобновили очный формат просветительской акции в форме добровольного диктанта. Только сменили адрес: не университет, а библиотека профкома ""Северстали"" (ул.Сталеваров. 42). В своих стенах она вместила четыре десятка человек. В этом году здесь снова решили провести диктант для всех желающих: 20 апреля в 14.00.
 - В прошлом году мы впервые попробовали себя в столь необычной роли. Одна из наших сотрудниц ежегодно писала диктант в университете - очень хотела получить пятерку. Сама я никогда его не писала, но слышала много отзывов от знакомых, восхищалась теми, кто смог написать на ""отлично"". На нашей площадке пятерки получили трое: два молодых человека и девушка, представители разных возрастов и профессий, - рассказала ""Голосу Череповца"" директор библиотеки им. И. П. Журавлева ППО ПАО ""Северсталь"", координатор ""Тотального диктанта"" в Череповце Екатерина Виноградова. - В целом в прошлом году все прошло очень позитивно, мы получили немало отзывов от тех, кто побывал на акции впервые, так и тех, кто ждал ее ""очного"" возобновления. В этом году подали заявку на организацию в городе на сайте диктанта (проект родом из Новосибирска - прим.ред.) одними из первых. Мы - за сохранение русского языка, за то, чтобы писать грамотно.
Координаторы в Череповце призывают внимательно следить за городской страницей на сайте ""Тотального диктанта"" (www.totaldict.ru ) и сообществами ""Тотальный диктант в Череповце"" и библиотеки в социальной сети ""ВКонтакте"". Там в апреле, появится сообщение о дате начала регистрации на посещение площадки. Сделать это нужно потому, что количество мест в библиотеке ограничено. В прошлом году все места были заняты меньше чем через час после начала регистрации. Координаторы рассматривают вопрос об открытии еще одной площадки в другой точке города, однако окончательно все еще не решено.
Еще один момент: бланки организаторы выдадут, а вот ручки лучше иметь с собой, так как в этом году ""фирменных"", с логотипом, организаторами всемирной акции не предусмотрено.
Тем, кто не успеет зарегистрироваться, советуют не огорчаться: написать диктант по традиции можно и онлайн, подключившись к трансляции онлайн-марафона на сайте диктанта
Кто выступит ""диктатором""? Так организаторы акции называют тех, кто диктует тех. В Череповце этот вопрос пока обсуждается, есть несколько претендентов. Например, в прошлом году текст диктовали заместитель председателя первичной профсоюзной организации ""Северстали"", председатель Вологодской областной организации Горно-металлургического профсоюза России Иван Шутов и одна из сотрудниц библиотеки.
Председателем экспертной комиссии, которая проверит работы написавших с учетом рекомендаций от штаба ""Тотального диктанта"", снова станет кандидат филологических наук, преподаватель-словесник школы № 1 Юлия Федотова. Сроки проверки работ и выгрузки результатов на сайт - около пяти дней. Информацию можно будет уточнить по телефону библиотеки: 57-36-26. 
Похожие сообщения (1):
Голос Череповца, Череповец, 19 марта 2024, Любители писать под диктовку вновь соберутся вместе
"
"Рубль завершил торги снижением, доллар подорожал до 92,65 руб, юань - до 12,83 руб",19 марта 2024,13,"ПРАЙМ # Бизнес-лента, Москва, 19 марта 2024","Рубль завершил торги снижением, доллар подорожал до 92,65 руб, юань - до 12,83 руб","МОСКВА, 19 мар /ПРАЙМ/, Елена Лыкова. Рубль завершил торги вторника снижением: американская валюта подорожала до 92,65 рубля, китайская - до 12,83 рубля, европейская - поднялась до 100,66 рубля, следует из данных Московской биржи.
Курс доллара расчетами ""завтра"" на 19.00 мск (к закрытию) за день торгов вырос на 73 копейки, до 92,65 рубля, юаня - на 10 копеек, до 12,83 рубля, евро - чуть более чем на 60 копеек, до 100,66 рубля.
Майский фьючерс нефти марки Brent к 19.10 мск рос на 0,61%, до 87,42 доллара за баррель.
РУБЛЬ СНИЗИЛСЯ
Рубль в течение дня торговался разнонаправленно: доллар двигался в диапазоне 91,69-92,67 рубля, юань - в пределах 12,7-12,84 рубля, евро - в рамках 99,71-100,66 рубля. Впрочем, большую часть сессии отечественная валюта дешевела и закрыла торги в минусе.
Объем торгов юанями расчетами ""завтра"" превысил 143,82 миллиарда рублей, долларами - 85,35 миллиарда рублей, евро - 24,7 миллиарда рублей, также следует из данных Мосбиржи.
""Во вторник рубль вернулся к ослаблению. Коррекционное движение, наблюдавшееся в понедельник, не было продолжительным. Дополнительное давление на российскую валюту могло оказывать заметное укрепление доллара на глобальном рынке"", - говорит Виктор Григорьев из банка ""Санкт-Петербург"">.
Среди факторов давления на российскую валюту можно отметить локальный рост доллара на мировом рынке в преддверии заседания ФРС, также указывает Александр Бахтин из ""БКС Мир инвестиций"".
""Однако динамика и к другим основным валютам у рубля была слабой, что говорит о более фундаментальных причинах ослабления. Оно может быть связано с повышенными расходами бюджета при ограниченности экспортных доходов из-за санкций, относительно невысоких цен на энергоресурсы, добровольного сокращения нефтедобычи в рамках ОПЕК+, снижения объема экспорта нефтепродуктов"", - считает он.
На этой неделе волатильность рубля может возрасти из-за экспирации в четверг, 21 марта, квартального фьючерса на пару доллар-рубль и привязанным к нему опционам, считает Дмитрий Полевой из ""Астра управление активами"".
Расчеты прибыли/убытков по фьючерсу и опционам производятся по так называемому фиксингу Мосбиржи, то есть биржевому курсу рубля на торгах в период с 12.15 до 12.30 московского времени. Столь небольшой промежуток времени для расчета фиксинга и низкая ликвидность валютного рынка допускают сильную реакцию курса на сделки (даже не самые крупные), проводимые в эти 15 минут, поясняет он.
""Причин для их концентрации именно в этот момент времени может быть несколько. От нормального желания участников или банков закрыть собственные риски, связанные с исполнением взаимных обязательств по контрактам в привязке к фиксингу, до попыток манипуляции курсом с целью извлечения прибыли по фьючерсам и опционам"", - полагает аналитик.
Полевой напоминает, что 21 декабря в похожих условиях рубль упал с примерно 90,9 рубля за доллар до порядка 92,75 рубля в течение двух часов, и, по мнению эксперта, столь резкое движение было, в том числе, следствием намеренной атаки на курс с целью манипуляции под опционные контракты. А отсутствие веры в рубль под конец года затрудняло быстрый откат курса, который случился лишь позже. Повторится ли этот сценарий в этот раз, сказать сложно, добавляет он.
ПРОГНОЗЫ
В среду курс может остаться выше 92 рублей за доллар, но к концу недели у него остается потенциал уйти ниже этого уровня - в первую очередь в связи с усилением влияния фактора налогового периода, считает Виктор Григорьев из банка ""Санкт-Петербург"">.
""Поддержку рубль продолжает получать со стороны высоких ставок, валютных интервенций ЦБ, временного контроля репатриации и продажи экспортной выручки. В ближайшей перспективе экспортеры начнут готовиться к налоговому периоду, что должно немного помочь рублю. Краткосрочный прогноз по паре доллар-рубль - 91-93 рубля"", - говорит Бахтин из ""БКС Мир инвестиций"".
По ожиданиям Натальи Мильчаковой из Freedom Finance Global, ориентирами для курса рубля к доллару, евро и юаню в среду будут уровни в: 91-93 рубля, 99-101 рубль и 12,5-13 рублей соответственно.
Похожие сообщения (5):
РИА Новости # Экономика: главное, Москва, 19 марта 2024, Рубль завершил торги снижением, доллар подорожал до 92,65 руб, юань - до 12,83 руб
РИА Новости # Финансы и банки, Москва, 19 марта 2024, Рубль завершил торги снижением, доллар подорожал до 92,65 руб, юань - до 12,83 руб
РИА Новости # Экономика: все новости, Москва, 19 марта 2024, Рубль завершил торги снижением, доллар подорожал до 92,65 руб, юань - до 12,83 руб
РИА Новости # Главное, Москва, 19 марта 2024, Рубль завершил торги снижением, доллар подорожал до 92,65 руб, юань - до 12,83 руб
РИА Новости # Все новости, Москва, 19 марта 2024, Рубль завершил торги снижением, доллар подорожал до 92,65 руб, юань - до 12,83 руб
"
Российский рынок акций снизился на негативном внешнем фоне,19 марта 2024,45,"ПРАЙМ # Бизнес-лента, Москва, 19 марта 2024",Российский рынок акций снизился на негативном внешнем фоне,"МОСКВА, 19 мар /ПРАЙМ/, Елена Лыкова. Российский рынок акций снизился на негативном внешнем фоне и в отсутствие драйверов роста, следует из данных торгов на Московской бирже и комментариев аналитиков.
Индекс Мосбиржи к закрытию основных торгов снизился на 0,95%, до 3264,97 пункта, долларовый индекс РТС - на 1,59%, до 1111,56 пункта.
Курс доллара расчетами ""завтра"" к закрытию основной сессии на рынке акций рос на 58 копеек, до 92,5 рубля,
Майский фьючерс нефти марки Brent к 18.59 мск поднимается на 0,74%, до 87,53 доллара за баррель.
Снижение российского рынка акций во вторник ускорилось: акции РФ падали даже на фоне возобновившегося ослабления рубля, на глобальном рынке настроения также ухудшились, отмечает Виктор Григорьев из банка ""Санкт-Петербург"">.
""Российский рынок акций во вторник перешел к умеренной коррекции несмотря на слабость рубля и ценовой рост нефти. Если последняя пользуется поддержкой напряженности на Ближнем Востоке, то в металлах прошла заметная ценовая просадка. Отчасти виновником этого стал доллар США, крепчающий на мировом рынке перед завтрашними новостями от ФРС"", - говорит Александр Бахтин из ""БКС Мир инвестиций"".
""Приближение важных событий, в том числе решения ЦБ по ставке, сложная геополитическая ситуация и локальный дефицит идей вынуждают инвесторов частично фиксировать прибыль"", - добавляет он.
ЛИДЕРЫ СНИЖЕНИЯ И РОСТА
В лидерах роста - акции ""ТКС Холдинга"" (группа ""Тинькофф"") (+4,68%), ""Яндекса""> (+3,06%), Х5 (+2,01%), ДВМП (+1,27%), расписки ""Русагро"" (+0,86%), акции ""НоваБев"" (+0,86%), префы ""Башнефти""> (+0,83%), бумаги ""Мечела""> (префы выросли на 0,72%, обыкновенные акции - на 0,8%).
В лидерах снижения - акции ""Газпром нефти""> (-4,79%), ""Роснефти""> (-3,62%), ""Россетей""> (-2,65%), расписки ЦИАНа (-2,41%), обыкновенные акции ""Татнефти""> (-2,38%), акции ""Аэрофлота""> (-2,36%), ""Юнипро""> (-2,28%) и акции VK (-2,27%).
ПРОГНОЗЫ
""Инвесторы не показывают высокий спрос на риск в ожидании значимых драйверов и в преддверии заседаний целого ряда регуляторов. В этих условиях индекс Мосбиржи в среду может остаться вблизи 3275-3285 пунктов, а реакция мирового рынка на итоги заседания ФРС повлияет на торги в РФ лишь в четверг"", - считает Григорьев из банка ""Санкт-Петербург"">.
""Ключевым событием середины недели станет заседание ФРС. Сюрпризов по процентным ставкам не ожидается, однако инвесторы могут чутко реагировать на тон заявлений и прогнозы регулятора. Среда - последний день для попадания в реестр акционеров, имеющих право на получение дивидендов ""Диасофта"" за 2023 год. Прогноз по индексу Мосбиржи на 20 марта - 3235-3325 пунктов"", - отмечает Бахтин из ""БКС Мир инвестиций"".
Похожие сообщения (6):
РИА Новости # Экономика: главное, Москва, 19 марта 2024, Российский рынок акций снизился на негативном внешнем фоне
РИА Новости # Все новости, Москва, 19 марта 2024, Российский рынок акций снизился на негативном внешнем фоне
РИА Новости # Главное, Москва, 19 марта 2024, Российский рынок акций снизился на негативном внешнем фоне
РИА Новости # Экономика: все новости, Москва, 19 марта 2024, Российский рынок акций снизился на негативном внешнем фоне
РИА Новости # Финансы и банки, Москва, 19 марта 2024, Российский рынок акций снизился на негативном внешнем фоне
Mfd.ru, Москва, 19 марта 2024, Российский рынок акций снизился на негативном внешнем фоне
"
Расширился перечень банков для открытия специальных счетов на капитальный ремонт,19 марта 2024,1,"БезФормата Краснодар (krasnodar.bezformata.com), Краснодар, 19 марта 2024",Расширился перечень банков для открытия специальных счетов на капитальный ремонт,"Расширился перечень банков для открытия специальных счетов на капитальный ремонт
Специальный счет для перечисления средств на проведение капитального ремонта общего имущества в многоквартирном доме можно открыть только в банках, которые соответствуют установленным Правительством РФ требованиям. 
 Ранее специальный счет на капремонт можно было открыть в любом из следующих 11 банков: 
Банк ГПБ (АО); 
 Банк ВТБ (ПАО); 
 АО ""АЛЬФА-БАНК""; 
 ПАО Сбербанк; 
 ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""; 
 ПАО Банк ""ФК Открытие""; 
 ПАО ""Промсвязьбанк""; 
 АО ""Россельхозбанк""; 
 ПАО ""Совкомбанк""; 
 АО ""Райффайзенбанк""; 
 АО ЮниКредит Банк. 
В 2023 году количество таких банков увеличилось. С 1 октября 2023 года в указанный перечень включен также АО ""Банк ДОМ.РФ"". 
 Перечень кредитных организаций, соответствующих установленным Правительством РФ требованиям, ежеквартально размещается на сайте Центробанка здесь https://www.cbr.ru/banking_sector/credit/list_ko/ . 
 Напоминаем, что если банк из этого перечня перестанет соответствовать установленным требованиям, то владелец специального счета обязан принять меры для выбора другой кредитной организации. 
Источник: Государственная жилинспекция 
"
Юнипро направило на переработку более 100 т отходов,19 марта 2024,21,"ИА AK&M, Москва, 19 марта 2024",Юнипро направило на переработку более 100 т отходов,"Энергетики Юнипро в 2023 году собрали и передали на переработку и обезвреживание в специализированные организации более 115 т вторсырья, в том числе: 54.4 т деревянной тары и прочей продукции из натуральной древесины, 31.1 т макулатуры, 11.7 т стекла, 11.4 т пластика, 3.5 т старых покрышек и 1.5 т других видов резины, 1.9 т батареек. Об этом говорится в сообщении компании. 
ПАО ""Юнипро"" (до 22 июня 2016 года - ОАО ""Э.ОН Россия"") зарегистрировано 4 марта 2005 года в Сургуте. Основной вид деятельности - производство и продажа электрической энергии и мощности. 
Уставный капитал компании - 25219482458.37 руб., номинал одной акции - 0.4 руб. 
Согласно указу президента Российской Федерации № 302 от 25 апреля 2023 года, 83.73% акций ПАО ""Юнипро"", принадлежащих концерну Uniper SE, переданы во временное управление Федеральному агентству по управлению государственным имуществом (Росимущество). 
Чистая прибыль ПАО ""Юнипро"" в 2023 году по МСФО выросла на 3.6% до 22.04 млрд руб. с 21.27 млрд руб. годом ранее. Выручка группы увеличилась на 12.1% до 118.6 млрд руб. со 105.8 млрд руб. Показатель EBITDA увеличился на 5.7% до 44.25 млрд руб. с 41.87 млрд руб. 
Чистая прибыль Юнипро по РСБУ за 2023 год выросла в 2 раза до 21.47 млрд руб. с 9.86 млрд руб. годом ранее. Выручка увеличилась на 11.7% до 124.18 млрд руб. со 111.2 млрд руб., валовая прибыль - на 10.1% до 37.5 млрд руб. с 34.07 млрд руб. Прибыль до налогообложения составила 26.7 млрд руб. против 12.18 млрд руб. 
"
Воронежский суд частично снял обременение с Владимира Зотова и Ларисы Ковалевой,19 марта 2024,22,"Fonar.tv, Белгород, 19 марта 2024",Воронежский суд частично снял обременение с Владимира Зотова и Ларисы Ковалевой,"Апелляционная жалоба, которую основной владелец ГК ""Агро-Белогорье"" Владимир Зотов подал в конце 2023 года, была частично удовлетворена судом апелляционной инстанции. При этом представители ГК ""Русагро"" на заседание не явились и просили его перенести. 
В понедельник, 18 марта, в 19-м апелляционном суде в Воронеже рассмотрели апелляционные жалобы Владимира Зотова и Ларисы Ковалевой на определение Арбитражного суда Белгородской области о наложении обеспечительных мер по заявлению группы компаний ""Русагро"". Представители истца на заседание не явились и просили его отложить, но судья принял решение о рассмотрении дела в их отсутствие. Со стороны ответчика были представители Владимира Зотова и Ларисы Ковалевой - двух из трех собственников ГК ""Агро-Белогорье"".
Напомним, что по заявлению группы компании ""Русагро"" судом были приняты обеспечительные меры без участия сторон, потому что Владимир Зотов якобы нарушил условия соглашения о намерениях, когда решил вложить часть своей доли в имущество АО ""Русский металл"". Сторона Зотова, как мы рассказывали ранее, настаивает на том, что отчуждения доли не было, а имело место лишь перераспределение ресурсов. То есть Владимир Зотов использовал потенциальные возможности для развития агропромышленного комплекса через АО ""Русский металл"", и это были действия учредителя ( Зотов в данный момент является 100-процентным акционером ""Русского металла"" - прим. Ф.), а не дочерней компании, и, таким образом, нарушения соглашения о намерениях не было. 
Лариса Ковалева, владеющая пятью процентами доли ""Агро-Белогорье"", также никаких действий со своей долей не совершала, но суд наложил обеспечительные меры и на нее. Кроме того, в соглашении о намерениях, заключенном Владимиром Зотовым, Ларисой Ковалевой и ГК ""Русагро"", говорится, что стороны соглашения имеют право заявить в одностороннем порядке отказ от переговоров, то есть выйти из них в любой момент. Подробнее об этом мы рассказывали ранее. 
""Русагро"" против ""Агро-Белогорья"". Почему у предприятий возникли претензии друг к другу?
В конце 2023 года между двумя крупными агрохолдингами, ""Русагро"" и ""Агро-Белогорье"", начались судебные разбирательства. Мы обратились с вопросами в ""Агро-Белогорье"", чтобы прояснить позицию компании по этому корпоративному конфликту, от комментирования которого ранее воздержались в правительстве региона.
На заседании представители Зотова и Ковалевой заявили, что обеспечительные меры мешают ГК ""Агро-Белогорье"" вести хозяйственную деятельность. В итоге судья частично удовлетворила жалобы Владимира Зотова и Ларисы Ковалевой и сняла с обоих собственников запрет на заключение сделок от лица ГК ""Агро-Белогорье"", разрешив им в дальнейшем получать займы, оперировать финансовыми гарантиями и ценными бумагами в отношениях с третьими лицами, распоряжаться долями и акциями, принадлежащими агрохолдингу.
Редакция ""Фонаря"" продолжит следить за судебными спорами сторон, ведь в настоящий момент в судах рассматривается еще четыре иска от ""Русагро"" к ГК ""Агро-Белогорье"" и его основным собственникам. 
Похожие сообщения (4):
БезФормата Белгород (belgorod.bezformata.com), Белгород, 19 марта 2024, Воронежский суд частично снял обременение с Владимира Зотова и Ларисы Ковалевой
Russian.city, Москва, 19 марта 2024, Воронежский суд частично снял обременение с Владимира Зотова и Ларисы Ковалевой
Russia24.pro, Москва, 19 марта 2024, Воронежский суд частично снял обременение с Владимира Зотова и Ларисы Ковалевой
News-Life (news-life.pro), Москва, 19 марта 2024, Воронежский суд частично снял обременение с Владимира Зотова и Ларисы Ковалевой
"
Лучший работник ММК,19 марта 2024,8,"ТВ-ИН, Магнитогорск, 19 марта 2024",Лучший работник ММК,"Автор: Старостина Елена
О таких, как Сергей Крухмалев говорят: на них держится все производство. Старший бригадир отгрузки участка отделки металла ЛПЦ-8 ПАО ""ММК"" был признан лучшим сотрудником месяца.
Лента холоднокатаная, горячекатаная, оцинкованная и еще множество другого сортамента. Все это под силу запомнить тому, кто посвятил годы плодотворной работе. Сергей Крухмалев в ЛПЦ-8 работает с 1998 года. На производство пришел сразу после учебы в институте.
Сергей Крухмалев, старший бригадир отгрузки участка отделки металла ЛПЦ-8 ПАО ""ММК""
""Через 1,5 года работы предложили возглавить бригаду на отгрузке в смене. С тех пор место работы не менял"". 
А после добросовестного труда и долгих лет работы Сергей Валерьевич был назначен старшим бригадиром пятой бригады. Обязанностей и ответственности добавилось, но качество работы осталось у Сергея Крухмалева на прежнем высоком уровне.
Сергей Крухмалев, старший бригадир отгрузки участка отделки металла ЛПЦ-8 ПАО ""ММК""
""Если сменные бригадиры занимаются конкретно отгрузкой-погрузкой вагонов, у меня задача распланировать последующую работу для смены, в ночь. Ориентировочные планы на следующие сутки, чтобы технологический персонал на агрегатах резки мог планировать их производство"". 
Артем Семихатский, начальник участка отделки металла ЛПЦ-8 ПАО ""ММК""
""В его обязанности входит комплектование, отгрузка вагонных норм, самовывозом на различные направления страны. Никто лучше не знает, как знает Сергей: куда, как комплектовать, в какие вагоны отгружать, чтобы груз дошел в целости и сохранности до потребителя"". 
Качественная работа без нареканий и стала причиной того, что по итогам прошедшего месяца он был признан лучшим сотрудником месяца.
Сергей Крухмалев, старший бригадир отгрузки участка отделки металла ЛПЦ-8 ПАО ""ММК""
""Честно говоря, неожиданно. Признали, значит руководство что-то увидели, поэтому признали лучшим на данный момент по профессии"". 
Артем Семихатский, начальник участка отделки металла ЛПЦ-8 ПАО ""ММК""
""В общем-то на нашем участке по разгрузке - самый ценный сотрудник"". 
Похожие сообщения (3):
БезФормата Магнитогорск (magnitogorsk.bezformata.com), Магнитогорск, 20 марта 2024, Лучший работник ММК
Общественно-политический центр Магнитогорска (magopc.ru), Магнитогорск, 20 марта 2024, Лучший работник ММК
БезФормата Челябинск (chelyabinsk.bezformata.com), Челябинск, 19 марта 2024, Лучший работник ММК
"
Отгрузили рекордный объем проката,19 марта 2024,21,"ТВ-ИН, Магнитогорск, 19 марта 2024",Отгрузили рекордный объем проката,"Автор: Смирнова Галина
В 2023 году Группа Магнитогорского металлургического комбината поставила на рынок России более одного миллиона семисот тысяч тонн проката с покрытием - рекордный годовой объем в истории предприятия. Из них миллион двести тонн пришлось на горячеоцинкованный прокат и половина миллиона тонн - на окрашенный. Внутренний рынок составил 91% от общего портфеля заказов компании.
2023 год стал для российских металлургов достаточно успешным. Несмотря на сокращение экспорта, объемы производства проката с покрытиями в стране выросли благодаря существенному подъему внутреннего потребления - на 19% к предыдущему году. Особый фокус ММК делает на прокате с покрытиями премиум-сегмента, доля которого в общей отгрузке оцинкованного и окрашенного металла составила в прошлом году рекордные 16%. В качестве перспективной премиальной продукции можно выделить прокат с декоративным и ""сморщенным"" полимерным покрытием. Также ММК является крупным производителем специализированного проката - автолиста и оцинкованного проката из конструкционных марок стали строительного назначения. Также в числе перспективных направлений - производство проката с высоким классом покрытия цинка, который используется для производства объектов, требующих высокой защиты от коррозии. Развивается линейка брендированного проката с декоративным покрытием SteelArt, выпускаемого на площадке ООО ""ММК-Лысьвенский металлургический завод"". Группа ММК является крупнейшим в России поставщиком такой продукции. Также в настоящее время прорабатывается возможность производства проката с полимерным покрытием для производителей холодильного оборудования. Этот прокат не имеет отечественных аналогов и сейчас импортируется из стран дальнего зарубежья. 
Похожие сообщения (4):
Южноуральская панорама, Челябинск, 21 марта 2024, Новый рекорд Магнитки
Министерство промышленности, новых технологий и природных ресурсов Челябинской области (minprom.gov74.ru), Челябинск, 19 марта 2024, Группа ММК за год отгрузила на российский рынок рекордный объем проката с покрытием
БезФормата Челябинск (chelyabinsk.bezformata.com), Челябинск, 19 марта 2024, Отгрузили рекордный объем проката
Магнитогорский металл, Магнитогорск, 19 марта 2024, Рекордный объем проката с покрытием
"
"""Северсталь"" подала в суд к трем районам Белгородской области из-за ж/д пути",19 марта 2024,16,"Открытый Белгород (openbelgorod.ru), Белгород, 19 марта 2024","""Северсталь"" подала в суд к трем районам Белгородской области из-за ж/д пути","Компания требует признать ее право собственности на ж/д путь от станции Беленихино до Яковлевского рудника, который проходит через три района области. 
Арбитражный суд Белгородской области начал рассматривать дело по иску ООО ""Северсталь"" к администрациям Ивнянского, Прохоровского районов и Яковлевского округа Белгородской области. Компания требует, чтобы за ней признали право собственности на подъездной железнодорожный путь от станции Беленихино ЮЖВД до Яковлевского рудника протяженностью 27,2 км. Путь проходит через три эти муниципалитета.
Суд возбудил производство по делу и назначил первое судебное заседание на 22 апреля.
""Северсталь"" - публичная акционерная компания, зарегистрированная в Череповце с 1993 года. Основная деятельность компании - производство чугуна, стали и ферроспалвов. Компания также занимается разработкой запасов месторождения железной руды в Яковлевском горокруге. 
"
"""Россети"" обеспечили электроэнергией горнолыжную трассу в Северной Осетии",19 марта 2024,10,"РБК (kavkaz.rbc.ru), Магас, 19 марта 2024","""Россети"" обеспечили электроэнергией горнолыжную трассу в Северной Осетии","Автор: Давыдова Виктория
""Россети Северный Кавказ"" (входит в ""Россети"") обеспечили электроэнергией горнолыжную трассу нового курорта ""Алания парк"" в Северной Осетии. Мощность технологического присоединения составила 6 МВт. Об этом сообщает пресс-службе компании ""Россети Северный Кавказ"". 
Уточняется, что всесезонный тематический парк развлечений запитан от одной из ключевых подстанций Владикавказа - 110 кВ ""Дауровой"". Это современный энергообъект, оснащенный высоконадежным оборудованием, микропроцессорными комплексами релейной защиты, автоматизированной системой управления.
К настоящему моменту известно, что горнолыжная трасса длиной 1,7 км с круглосуточным освещением и системой снегоподдержки уже проложена. Общая протяженность трассы составит 1,8 км.
Как ранее сообщал РБК Кавказ, ""Алания парк"" входит в число прорывных проектов Северной Осетии. В 2023 году инвестиции в проекты превысили 31 млрд руб.
Похожие сообщения (1):
RuPulse (rupulse.ru), Москва, 19 марта 2024, ""Россети"" обеспечили электроэнергией горнолыжную трассу в Северной Осетии
"
